date,entity_type,param_group,param_name,param_value,k,jaccard,overlap,spearman
2025-12-31,users,contamination,contamination,0.03,10,1.0,1.0,0.9999999999999999
2025-12-31,users,contamination,contamination,0.03,20,1.0,1.0,1.0
2025-12-31,users,contamination,contamination,0.05,10,1.0,1.0,0.9999999999999999
2025-12-31,users,contamination,contamination,0.05,20,1.0,1.0,1.0
2025-12-31,users,contamination,contamination,0.07,10,1.0,1.0,0.9999999999999999
2025-12-31,users,contamination,contamination,0.07,20,1.0,1.0,1.0
2025-12-31,users,n_neighbors,n_neighbors,15.0,10,1.0,1.0,0.9636363636363635
2025-12-31,users,n_neighbors,n_neighbors,15.0,20,0.9047619047619048,0.95,0.9766233766233766
2025-12-31,users,n_neighbors,n_neighbors,20.0,10,1.0,1.0,0.9999999999999999
2025-12-31,users,n_neighbors,n_neighbors,20.0,20,1.0,1.0,1.0
2025-12-31,users,n_neighbors,n_neighbors,25.0,10,0.6666666666666666,0.8,0.9192982456140353
2025-12-31,users,n_neighbors,n_neighbors,25.0,20,0.9047619047619048,0.95,0.9675324675324675
